,station_name,lng,lat
216,Clark St & Berwyn Ave,-87.66856491565704,41.97803062248656
217,Avondale Ave & Irving Park Rd,-87.73208283333334,41.95337783333333
218,Franklin St & Adams St (Temp),-87.63592683333333,41.87876883333333
219,Clark St & Winnemac Ave,-87.66789666666666,41.973334
220,Damen Ave & Madison St,-87.67497666666667,41.88142316666666
221,Clark St & Montrose Ave,-87.666036,41.961588
222,Kimball Ave & Belmont Ave,-87.711561,41.939398
223,Western Ave & Fillmore St,-87.686233401,41.868626237
224,Halsted St & 37th St,-87.64572,41.827059
225,Larrabee St & Oak St,-87.64300033333333,41.90025466666667
226,Orleans St & Chestnut St (NEXT Apts),-87.637536,41.898203
227,Paulina St & 18th St,-87.668745,41.857901
228,Racine Ave & 18th St,-87.656495,41.858166
229,Western Ave & 24th St,-87.685109,41.84847
230,Clark St & Newport St,-87.654678,41.94454
231,Lincoln Ave & Addison St,-87.67335933333334,41.94627883333333
232,Maplewood Ave & Peterson Ave,-87.6933696402,41.99023602867
233,Lincolnwood Dr & Central St,-87.715297,42.064854
234,Columbus Dr & Randolph St,-87.619521,41.884728
235,Union Ave & Root St,-87.64330864,41.819150448
236,Michigan Ave & 8th St,-87.623981,41.872773
237,Canal St & Adams St,-87.639904,41.879255
238,Wentworth Ave & 33rd St,-87.6318229814,41.83452988563
239,Broadway & Waveland Ave,-87.648636,41.949074
240,Austin Blvd & Lake St,-87.774372101,41.887914777
241,Wentworth Ave & Cermak Rd,-87.63193130493164,41.85308455741279
242,Clybourn Ave & Division St,-87.640552,41.904613
243,Halsted St & 21st St,-87.6466029882431,41.85377981072743
244,Albany Ave & Bloomingdale Ave,-87.70515833333333,41.913977
245,Clarendon Ave & Gordon Ter,-87.64952866666667,41.95777666666667
246,Winchester Ave & Elston Ave,-87.6764600747,41.92409085038
247,Manor Ave & Leland Ave,-87.700825,41.965875
248,Clark St & Wrightwood Ave,-87.64306516666667,41.929660166666665
249,Streeter Dr & Grand Ave,-87.612043,41.892278
250,Broadway & Wilson - Truman College Vaccination Site,-87.658139,41.965221
251,Lincoln Ave & Winona St,-87.69269633333333,41.97488716666667
252,Normal Ave & Archer Ave,-87.640591,41.849527
253,Burling St & Diversey Pkwy,-87.64776,41.93314
254,Shields Ave & 28th Pl,-87.635491,41.842733
255,Lockwood Ave & Wrightwood Ave,-87.76,41.93
256,Sedgwick St & Huron St,-87.638437,41.894666
257,DuSable Lake Shore Dr & Belmont Ave,-87.639192,41.940775
258,Clark St & Elm St,-87.63128,41.902973
259,Broadway & Berwyn Ave,-87.659753,41.978353
260,Woodlawn Ave & Lake Park Ave,-87.5970051479,41.81409271048
261,Lakefront Trail & Bryn Mawr Ave,-87.6523104689,41.98403669612
262,Prairie Ave & 43rd St,-87.6194124619,41.81665889302
263,Western Ave & Howard St,-87.689989,42.01900833333333
264,Morgan Ave & 14th Pl,-87.651062,41.862378
265,Throop St & 52nd St,-87.65722766666667,41.79967333333333
266,Cottage Grove Ave & 47th St,-87.606755,41.809855
267,Woodlawn Ave & 55th St,-87.596471,41.795264
268,Kimbark Ave & 53rd St,-87.594747,41.799568
269,South Shore Dr & 67th St,-87.567514,41.773643
270,Ritchie Ct & Banks St,-87.626217,41.906866
271,Damen Ave & Wellington Ave,-87.67842,41.93588
272,Paulina St & Montrose Ave,-87.671387,41.961507
273,Kilpatrick Ave & Parker Ave,-87.74,41.93
274,California Ave & Milwaukee Ave,-87.69710033333334,41.92264033333333
275,Rockwell St & Eastwood Ave,-87.69364883333333,41.96585983333333
276,Ashland Ave & Augusta Blvd,-87.6684195,41.899609833333336
277,Clifton Ave & Armitage Ave,-87.65704833333334,41.91812916666667
278,Lincoln Ave & Diversey Pkwy,-87.6586185,41.932185833333335
279,Clark St & Chicago Ave,-87.63095333333334,41.8965635
280,Lakeview Ave & Fullerton Pkwy,-87.638973,41.925858
281,Franklin St & Chicago Ave,-87.635734,41.8968485
282,Financial Pl & Ida B Wells Dr,-87.633118033,41.874937057
283,Fairfield Ave & Roosevelt Rd,-87.6945085,41.86662883333333
284,Clark St & Columbia Ave,-87.6724024047,42.00445062934
285,Clark St & Jarvis Ave,-87.67497616666667,42.0159125
286,Elizabeth (May) St & Fulton St,-87.658464,41.88656266666667
287,New St & Illinois St,-87.61812366666666,41.89103033333333
288,Eastlake Ter & Rogers Ave,-87.66505792737007,42.0208872805206
289,Laflin St & Cullerton St,-87.663600564,41.854877234
290,Wells St & Hubbard St,-87.634266,41.889906
291,Southport Ave & Wellington Ave,-87.663576,41.935733
292,Stetson Ave & South Water St,-87.62232,41.886835
293,Ashland Ave & Blackhawk St,-87.667252,41.907066
294,Warren Park West,-87.688829,42.001785
295,Damen Ave & Foster Ave,-87.6794590387,41.97561480459
296,Halsted St & 56th St,-87.64499,41.79293
297,University Library (NU),-87.673447,42.052939
298,Elston Ave & Wabansia Ave,-87.66420383333333,41.91292683333333
299,Ridge Blvd & Howard St,-87.68452,42.019276
300,Kedzie Ave & Foster Ave,-87.70933916666667,41.97567883333333
301,Dodge Ave & Mulford St,-87.699595,42.023463
302,Campbell Ave & Montrose Ave,-87.6911650414,41.96152593287
303,Ravenswood Ave & Lawrence Ave,-87.674237,41.96909
304,Western Ave & Leland Ave,-87.688672,41.96645016666667
305,Dearborn St & Monroe St,-87.629843,41.881254166666665
306,Pine Grove Ave & Irving Park Rd,-87.648068428,41.954405785
307,Budlong Woods Library,-87.6964225611,41.98366470886
308,Sheridan Rd & Columbia Ave,-87.66149783333333,42.004583
309,Greenview Ave & Jarvis Ave,-87.66857,42.015962
310,Dodge Ave & Church St,-87.698224,42.048308
311,Elmwood Ave & Austin St,-87.684107,42.025784
312,Kedzie Ave & 52nd St,-87.7,41.8
313,W Armitage Ave & N Sheffield Ave,-87.65,41.92
314,Adler Planetarium,-87.607267,41.866095
315,Major Taylor Trail & 124th St,-87.63711333274841,41.66869635332246
316,N Green St & W Lake St,-87.65,41.89
317,Sheridan Rd & Loyola Ave,-87.6611982433,42.00104377979
318,Clark St & Touhy Ave,-87.6743671152,42.01256011541
319,Halsted St & Dickens Ave,-87.6487945,41.92015583333333
320,Cherry Ave & Blackhawk St,-87.655618,41.907221
321,Broadway & Barry Ave,-87.6440978050232,41.93758231600629
322,Clark St & Lunt Ave,-87.67414433333333,42.009102166666665
323,Sheffield Ave & Webster Ave,-87.65384866666666,41.92174
324,Clark St & Ida B Wells Dr,-87.63118316666667,41.8756265
325,Stockton Dr & Wrightwood Ave,-87.63872366666666,41.9313835
326,Hoyne Ave & 47th St,-87.67718366666666,41.808217166666665
327,Central Park Ave & Ogden Ave,-87.71498416666667,41.85388583333334
328,Kedzie Ave & Lake St,-87.7063037436,41.88460328501
329,Damen Ave & Pierce Ave,-87.67765283333334,41.90940366666667
330,Broadway & Ridge Ave,-87.6602738295,41.9840446107
331,Kingsbury St & Kinzie St,-87.6385057718,41.88917683258
332,Rockwell St & Fletcher St,-87.69,41.94
333,Sheridan Rd & Noyes St (NU),-87.677432,42.058239
334,Talman Ave & Addison St,-87.694584131,41.946667552
335,Ashland Ave & 50th St,-87.664699,41.803023
336,Mies van der Rohe Way & Chestnut St,-87.6219152258,41.8985866514
337,Rush St & Hubbard St,-87.626185,41.890173
338,Western Ave & Roscoe St,-87.68728137,41.942999363
339,Clark St & Elmdale Ave,-87.66972362995148,41.99086044812557
340,Loomis St & Jackson Blvd,-87.661969662,41.877881765
341,Clinton St & 18th St,-87.640826,41.85795
342,State St & 29th St,-87.626938,41.841707
343,Kildare Ave & Montrose Ave,-87.73569,41.96108
344,Loomis St & Archer Ave,-87.65752133333334,41.84166033333333
345,Bissell St & Armitage Ave,-87.65211183333334,41.91786483333333
346,Morgan St & 31st St,-87.65123233333334,41.83779833333333
347,Racine Ave & Randolph St,-87.656853,41.884069
348,Morgan St & Lake St,-87.65102460980414,41.88577925240433
349,Ashland Ave & Lake St,-87.66717,41.88592
350,Wells St & Evergreen Ave,-87.63483,41.906724
351,Paulina St & Flournoy St,-87.66907266666666,41.87307416666667
352,Western Ave & Lunt Ave,-87.690481067,42.008597851
353,Ada St & Washington Blvd,-87.6612215,41.882879
354,Halsted St & Wrightwood Ave,-87.649077,41.929143
355,Dearborn Pkwy & Delaware Pl,-87.629746,41.89884533333333
356,Marshfield Ave & 44th St,-87.666621,41.81402033333333
357,Wells St & 19th St,-87.63382966666667,41.856749
358,Albany Ave & 26th St,-87.70201533333334,41.8444625
359,Ashland Ave & Wrightwood Ave,-87.66853633333334,41.92887733333333
360,Wells St & Elm St,-87.634746313,41.903105617
361,LaSalle St & Illinois St,-87.631697,41.890762
